hgnc_symbol,stage_I,stage_II,stage_III,stage_IV
HMMR,41.507,0.053,0.2295,5.513
CHFR,579,66,0.132,0.85
FCGR2B,5.13,0.74,0.29,0.595
NFATC3,159.28,814,11.516,54.57
TRNT1,143,171,0.0985,53.1
ACADVL,239,346,40.5,145.5
STK10,467.5,68,28.016,167.4
FBXW11,62.5325,183,0.6845,180
ACAP1,345,338,98.9,220
DERL2,2040,630,1632.5,1128.5
NDE1,144,448,0.0495,43.65
AP1M1,114,150,0.38,763.5
XRCC1,2.066,35,0.0655,0.17
SCARB1,0.55,0.018,0.0485,71
MCM2,0.2,0.018,119.07,8.5
SELENOO,0.65,0.035,130.5,0.09
ALPK1,24.39,0.71,0.18,0.1695
LLGL2,21.0485,30,0.016,0.065
PDE8A,43.825,119,423.565,0.34
NLE1,0.246,0.33,0.0325,12.775
SDHA,234,623,558.5,413.5
SMARCE1,1566,2236,1612.5,1568
GSDMB,1.225,195,7,0.0265
KDM5A,1609.5,1496,798,899
FERMT2,0.1285,0.035,74,0.1515
PTGS2,0.0625,0.33,44.7,0.71
MAP3K13,72.65,259,112.325,1.17
ST6GAL1,30,17,197.79,374.1
VDAC1P1,0.635,0.45,0.13,0.275
PICALM,373,6.1,466.5,2.45
NSF,26.08,83,0.0855,351
CLASP1,92.115,304,414.5,4.3
MRPS34,797,159,127.145,290.2
CLNS1A,606.5,470,127.775,1593.5
EED,185.4,874,1066,1382.5
TSG101,144.95,185,1.43,237.5
NCBP3,169.47,777,538.37,109.91
ATP2A3,82.5,0.21,0.965,550.5
MGLL,1.5,0.14,0.18,0.08
DPP8,189.5,264,215.2,381.5
LMAN1,1228,829,119,828.5
HACD3,212.4,756,231.517,943.5
IPCEF1,291.75,664,1455,559
ZZEF1,220.145,65,682.55,170.15
ENO1,3641.5,4873,3045,5275
MYDGF,523,704,327,749
TXK,77.5,20,20.2,18.265
ACTR6,121.1,94,468,195.175
SRI,628,788,365,1458
EIF4G3,880.5,485,458.355,72.5
NUP37,21,0.12,0.175,0.105
ACAT1,293.75,316,202.155,371.5
GRAMD4,16.0325,26,176.5,35.5395
ZNF638,440.2,767,1105.5,461.225
ZNF37A,17.675,0.35,0.805,80.6
MARK3,850.5,213,273.5,139.625
SLC25A3,569.45,1632,809.5,1214
FNDC3B,56,263,4.9,428.65
FOSL2,2549,533,710,890.5
FRYL,743.5,164,471.565,773.5
TMEM131,50.4,514,152.595,367.725
ACTB,70273,69146,44276,61680
PLD1,0.0485,0.11,0.305,0.1
DLG1,449,21,92.5,106.1
RAB7A,262,2146,85.4,2361
BCAP29,59.4,370,0.17,73.05
SART3,149.5,1.2,8.58,4.425
ARHGAP15,1117.5,1399,497,1823
EXOSC7,38.13,43,23,31.05
KIFAP3,135.34,244,169.725,103.15
MKRN2,146.5,156,582,60.75
MCM6,881,1537,580,225
REXO2,382,1120,578.5,445.5
RBM7,122.095,668,315,97.5
RBMS2,11.95,0.035,0.0495,0.1615
BAZ2A,404.5,316,419,653.5
PTPN23,7.5,24,0.0345,8.5
MLH1,76.71,550,102,172.05
UNG,127.5,0.14,402.05,0.265
KLHL20,60,115,14.75,168.5
SPAG5,2.5,0.018,0.6485,0.17
ANKRD13A,221.5,163,522,223.5
TPD52,80.87,1268,191,152.4
TRAF4,62.5,53,21.25,9
PAG1,1168,1895,388.595,955
ICAM3,450.5,703,243.517,300
NT5C2,43.85,72,471,1.225
MCAM,94.65,420,495,0.6265
MBNL3,15.8,239,0.17,1.35
ARHGEF1,193,145,96.42,73.7
STXBP2,20.5,15,72.5345,38.8
MAP2K7,23,50,13.5,162.35
DGKD,37.0485,32,0.1335,118.35
TOP2B,1021,1221,133,558.5
TM9SF3,774,529,18.84,374.4
NFKB2,19.305,47,17,65.5
UBE2T,58.5,155,0.256,3.4395
DNAJC10,140.5,213,58,235
GTF3C1,135.5,145,395,122.55
IL4R,159.7,308,74,725
USP33,305.305,945,1070.5,305.315
EXOSC5,47.8,15,10.017,367.5
DYNC1I2,149.5,271,50,520.5
APBB1IP,2819,1467,752.5,3059
LRCH4,6.5325,0.53,273.5,0.0765
FAM76B,26.4,39,264,40.17
POLD3,115.37,0.58,645,259.5
CAPZB,2396.5,1991,383.5,798.5
GPR137B,30.8,43,1.18,0.315
JADE1,544,61,1.07,71.5
UBE2A,210.1,684,897,1334
FGFR1,0.016,0.035,162,46.5
CST7,3709.5,2967,494.5,1675.5
PIAS2,87.16,1.5,95.5,131
ARAF,117.76,426,0.55,0.21
MCCC1,38.516,0.035,192,175.025
LAMP3,0.007,3.9,1.125,32
ACER3,306.5,459,22.24,5.05
UBE2K,2770.5,692,1178,1249.5
PIK3C3,61.55,0.26,71.016,554
N4BP2,281.08,471,251.62,1064
TIGAR,48.1,936,34.645,0.355
TULP3,12.5325,82,1.666,0.195
SYNJ2,35.5485,58,356.5,1.55
PPP2R5C,9147,4822,4919,10493.5
PMS2P1,11.065,199,51,69.5
GNB1,470,662,420,459.5
MLLT10,393.5,345,249.5,232
P2RY10,1588.5,404,528,555
ITM2A,6684.5,7244,4459.5,6389
NRDC,409.5,903,270.5,398
VDAC3,861.5,1405,1538,849.5
PCM1,970,1309,719.5,775
TNRC6C,153.5,18,10.95,118.5
CBFA2T2,22.5325,167,462.76,874.05
ITCH,711,31,43.3,105.6
SDF4,115.13,156,0.4,87
TOLLIP,272.8,130,0.082,133.4
UBE2D4,142,16,0.0325,779
CDH17,0.0325,0.91,0.017,0.105
THOC1,133,32,52.58,7.275
XRCC5,2537.5,1303,1083,3531
LXN,72.0485,373,0.065,10.5
SP140,306.5,376,389.2,399.5
MKNK1,600.5,306,79,86
SAR1A,4740.5,3783,1174,3096.5
CDC14A,365,29,16.065,131.0395
SENP1,28,50,13.5,0.913
FDFT1,643,623,778.5,948
PAFAH1B3,5.2,61,111,45.75
OPHN1,0.41,0.74,0.33,0.445
KIF22,233.5,38,16.16,1.95
CARMIL1,3.375,0.16,0.79,48.735
PGM1,87.1,97,24.5,15
DDX1,129.65,392,262,546
DNM2,60.645,161,253,16.1
EPB41L2,99.5,8.8,0.2725,0.205
STX7,2.545,187,77.0325,74.25
KEAP1,23.565,0.14,0.18,0.55
DDX43,192.5,0.053,10.5,5.25
RFX3,122.5,23,177.07,29.4
RIF1,764.5,716,354,3292.5
RAB21,654.5,711,750.5,457
SMARCA2,1367,887,558,213.1
SESN1,156.05,0.53,0.5,9.185
SRCAP,522.2,32,69.5,1.025
PUM3,782,1116,662.5,1204.5
CNOT4,762,1099,244,636
PSEN1,175.34,724,32.2,853
CPOX,36.5325,803,18.516,0.17
CLDND1,3626.5,4521,2404,3969
MOK,30.016,10,0.65,31.5
HSP90AA1,4903,10868,11325,14662.5
RBL1,81.5485,61,95,494.5
DLGAP4,61.5,221,3.87,23.9
NDC80,30.05,220,0.2095,306.59
AP4E1,39.5,536,0.085,61.62
RSBN1,714,1163,1148,615
MAGI3,10.5,0.035,0.0655,0.025
CXCL2,2.255,28,8,36.4
TCF7,385,726,223.065,405.5
OSTM1,387.5,345,0.915,208.75
PCNP,2027.5,1002,748,1222.5
EXD2,25.5,0.018,0.0325,7.525
ARG2,0.215,16,0.966,252.75
MEF2C,21.5,0.58,2.066,4.95
PTPRC,13587,15165,10470,13060
UBA5,102.725,109,40.58,101
STK17B,20449,13750,7660,26942
ZNF506,28.63,258,0.095,0.115
JMJD4,0.273,34,0.115,0.09
DUSP12,123.65,835,113.017,185.35
AACS,62.05,0.018,8.0485,70.59
DELE1,15.47,0.11,298.71,127.7
HSPB11,1618.5,2318,226,305.5
IL12RB2,13.9,165,114.4,0.09
WDR70,83.5,80,0.067,374.95
FYB1,7437.5,7365,6033.5,5889.5
BZW1,3399.5,6733,2202.5,5049
ME2,169.115,2.9,0.445,283
C5orf22,91.016,575,0.083,20.35
CCNT2,26.675,930,129.85,193.4
COBLL1,0.966,2.2,153.855,107.825
DLG3,9.4,0.58,0.0495,0.185
TRAF5,372,372,574.105,736
MRPL22,775.5,758,1088,1231.5
NFE2L1,118,226,288.5,5.7
GSK3B,66.405,159,29.8,7.4
ERC1,31.275,10,0.59,3.435
XPO1,105.13,36,78.0345,348
RNF13,195.34,273,0.995,9.8
PALB2,46.5,40,0.065,1.05
DOP1A,36.65,0.82,1.167,0.09
LYRM2,143,374,0.915,10
BCKDHB,0.6985,86,0.37,0.063
KAT6A,275,412,1007,221.5
TUT7,914,980,543,1197
TNPO1,69.85,151,2.05,170.5
P2RX5,82.5485,2.1,188.5,24.55
ITGAE,784,1369,126.75,887
DIS3,102.85,163,14.0345,189.5
PIBF1,286.5,0.12,236,317.5
TDRD3,12.95,268,72.615,33.5
PDS5B,3592.5,638,1540,1000
OXCT1,130,6.5,418,524
RRAGB,15.0325,22,216.725,0.445
CYLD,970.5,2150,690,1573.5
SLC27A5,1.064,0.018,0.0325,0.0645
ZNF586,262,75,0.112,72.025
ZNF264,51.565,0.26,520.517,20.55
RPS5,2194,3022,1562.5,1662.5
FAT1,0.0555,0.035,22.5,0.0645
YTHDC1,730,886,220.5,1079.5
CHMP2B,891,675,1149,546
SMAP2,1281,1091,2461.5,1178.5
PPIE,350.85,584,88.45,771
ZMPSTE24,265.15,1863,2.24,731.5
STARD7,1306.5,1903,1173.5,1690.5
NOA1,20.115,230,0.39,21.33
REST,468,418,343.5,731.5
SSH1,256.42,393,959.5,173
GSTP1,800.5,1304,276.5,759
APLP2,578,722,132.7,847.5
FAM234B,0.007,109,238,0.1015
WBP11,1063.5,1256,508,807.5
EIF3I,655,1874,21.2,749.5
TXLNA,366,316,619.5,768
NCOA1,303.2,382,237,717.5
AGBL5,2.666,1,131.85,0.47
KIF3C,68,0.018,0.0485,0.105
RAB10,632,1890,1259,1496.5
HADHA,999,1444,477.12,1518.5
CD59,880.5,298,1818.5,1468
CD82,1075.5,445,573.2,774
ATRX,3083,4296,2632,3673
AK6,922,237,452,285.55
FCN1,0.095,0.088,0.145,0.025
MYNN,586,0.14,0.1335,449.5
SCAMP1,683.5,484,222,381.5
PREP,55.065,259,343.5,151.305
HACE1,19.5,0.25,0.017,112.5
SEH1L,636.5,268,0.0505,1.55
WDR47,77.4,171,0.28,174.565
WDFY1,11.095,935,14.195,180.125
SLC25A24,78,472,190.45,321.025
MAP3K4,362.5,185,215.5,68.5
ABCB1,67.5,399,15,53.55
AKR1B1,359.5,43,548.5,669
CPNE3,544.5,406,8.08,159.275
RRN3,123.14,84,0.6,215.6
CTTN,4.007,232,0.0495,112.05
MTIF2,140.5,23,189.58,0.055
DDHD2,28.725,12,232.565,17.605
EPS15,448,1391,5.255,662
MGST2,1.207,152,217,0.013
CHERP,45.9,38,0.7485,80.275
ATG16L1,47.71,426,16.07,73.195
POMGNT1,14.516,174,0.016,61.195
DNAJA1,2418,3821,1167,1736
B4GALT1,15734.5,8033,8364,6618.5
CHMP5,119,747,68.695,335
NFX1,263,11,714,0.935
DIMT1,149.016,189,4.245,88.5
IPO11,12.695,0.28,0.0345,0.145
EIF2AK1,579,148,266,46.5
SNX10,289.125,0.95,24.5,0.21
SEPHS1,44.065,0.35,36,237.075
MRPL28,86.75,25,170.5,18.875
CEACAM6,0.8325,0.07,0.816,1.75
RBM22,1044,1442,9,981
TMED2,1356,1722,1298,3117
ERO1B,15.5,91,4.035,137.5
ZFAND6,2758.5,1617,303,1025
TXLNG,160,566,443.66,131.5
LAT2,7.5325,1,0.0505,10.025
HUWE1,546.6,525,342.4,243
ALG9,8.521,0.088,22.5,0.0515
ACOX3,25.76,28,0.017,0.013
MTMR2,92.55,0.4,0.0325,0.22
PPP1R15A,708.5,434,30.9,426
TRIP6,36.565,0.018,0.136,0.08
FTL,15462.5,29686,5250.5,18785.5
SRRT,73,16,342.5,8.7
BAX,0.46,27,0.0325,188.5
NLK,0.29,52,0.016,0.025
PIGS,29.5485,128,0.162,0.105
ATXN7L3,11.145,0.14,8.05,0.0645
PGS1,441.5,12,58.615,1.15
PSMC5,709,504,81.5,786.25
UIMC1,35,207,73,65.55
LPCAT2,0.332,0.018,0.16,0.125
OGFOD1,204.55,379,4.316,80.4
NOP14,47.016,12,125,110.5
ADD1,258,658,527.5,519
TXNDC16,13.5,640,0.1185,73.59
RTRAF,1437.5,1384,517,274
GMCL1,40.0485,98,344.5,338
SF3B2,590,847,210,449.5
GNAS,5518.5,4773,6393.5,5195
DNM1L,448.5,231,213.5,505.5
ERGIC2,481.5,688,603.21,813
AURKA,93.0415,0.11,0.05,0.195
AAMDC,29.25,0.28,0.2,0.13
RFX2,24.5485,10,0.136,45
ALG6,877.5,258,12.195,178.05
PTPN4,93.76,115,19,113
DDX18,1212.5,2685,682.5,418.5
KHSRP,16.15,61,2.87,1.75
EDEM2,66.6,49,0.067,21.8
TPX2,235.75,1.2,396.8,79.2
PDRG1,77.85,13,0.016,203.85
DOCK9,28.0485,202,14.115,14.63
ANKRD10,2132.5,133,1184.5,1413
TGDS,1.5325,714,0.87,63.525
CRLS1,53.37,10,0.13,14.6
PPP1R13B,2.666,1.4,0.16,0.013
SMOX,29.5,101,0.033,0.435
FKBP1A,2159.5,2131,1274.5,2306.5
NSFL1C,244.95,555,0.917,835.5
C20orf194,0.087,0.16,0.016,1.85
ZNF343,22.75,11,1.15,0.013
MAVS,20,36,0.225,82.5
XRN2,561.5,1773,756.5,586
KIZ,131.08,107,5.5,42.725
DYNLL1,980,1031,1902.5,823.5
TESC,25.0325,27,34.55,0.105
SNX5,989,1327,783,1692
RPL6,5304,5296,6333,3299.5
SIRPG,1462,1877,193.5,1015.5
MAPKAPK5,24.66,86,0.0325,2.05
P2RX7,36.9,0.6,0.132,0.105
ESF1,291.5,569,542.5,340.8
RBBP9,1.4,33,0.0345,0.0395
ANAPC5,518,523,395.5,161
SLC23A2,43.05,0.28,177.5345,0.675
SLC8B1,3.6485,0.018,1,0.075
TMEM230,785,2923,1328,1346
KDM2B,178.5,73,433.5,222.3
TASP1,44.24,140,73.5,45
OAS1,136.405,463,83.565,1544.5
GCN1,517,2.1,0.575,1.45
RPLP0,7464.5,12895,5597.5,8435
PXN,1.775,0.018,166,0.013
TRMT6,117.5,216,181.0345,172
PEBP1,2139.5,1238,1496,823.5
BRAP,172.5,1.3,69.516,296.5
ERP29,89,979,0.265,395.95
FUS,459,897,213.675,213.5
IGBP1,517.5,40,4.217,410.5
FXYD5,1343,1463,513.5,1487.5
GRAMD1A,130,25,133.415,473.5
CDIP1,303.5,0.12,70.016,16.513
GANAB,13.5,49,125.57,10.4
GMIP,46,2.6,56.5,67.5
RBM41,49.0485,0.018,473,17.08
BIRC5,1.09,3.5,314,0.855
LAG3,178,147,296.5,94.85
MLF2,71.355,88,157.5,192.675
DDX24,4272,5047,2099,3863
ZBTB25,137,543,243,976.5
NECAP1,117.145,212,263,529.5
ARHGAP4,31.21,29,1.715,59
DHX32,69.665,154,8.05,33.5
RCOR1,135.24,2,146.595,1.05
GPATCH2L,58.05,305,170.35,7.4
BLVRB,60.3,0.26,0.895,108
SLC9A1,27.516,27,38.5485,0.165
SPTLC1,131.5,319,0.817,89.025
PAPOLA,1804.5,1244,1518.5,1618.5
CCNK,280.5,521,22.7,299
RGS1,8493,13917,6763,7909.5
YPEL3,125.92,90,176.5,612
MRPS33,73.5,1137,135.355,81.7
NDUFB2,3976,3790,2021,2251.5
NUDC,827,517,219.5,938
MAEA,326.145,141,16,0.545
ICAM1,30.37,137,0.625,61.05
STRN4,46.516,113,0.175,0.105
IRAK3,28.5,0.58,8.5485,0.3515
LYZ,402.5,490,530,572.2
MUL1,29.5325,0.39,0.08,148.525
PDCD7,28.595,111,0.165,262
SPG21,20.3,0.6,494,276
DNAJB11,579,112,116.785,430.5
FLT3LG,11,15,0.016,74
RAB11FIP3,11,6.5,41.57,0.2
GNPTG,154.75,473,2.3485,421.5
ZNF268,30,0.86,0.08,183.275
GOLGA3,127.55,6.4,31.115,1476
PABPC4,87.7,696,104.9,512.925
CERS4,2.416,0.053,0.082,0.17
USP48,369.5,823,2715,367.4
PDPR,66.016,420,0.0495,124.7
AARS1,14.24,212,26.5,33.575
GLG1,2320.5,245,636.5,1123
KIF4A,1.021,0.19,0.033,0.013
TNRC6A,649,409,405.5,387
PLEKHG2,15.195,83,60.75,23.525
EXOC1,254.5,0.14,0.065,583
RBM27,319,150,119.0485,103
OSBPL8,1704.5,1773,2123.5,1596
DTX2,2.616,0.035,6.017,2.6
PUS7,68.0485,0.28,0.0825,0.315
LAMB1,8.145,27,0.08,112.013
DLD,631,1006,826.5,854
WDR7,113.385,330,0.0345,268.75
TXNL1,768,969,457.5,175.3
CMTM6,2765.5,3602,1986.5,2770.5
ITGA6,6.855,13,0.36,4.175
FH,64.8,0.21,0.0655,827
SEL1L3,257.5,358,1.215,23.65
TF,27.5345,0.21,0.016,0.0765
CDV3,3973,5035,3016,7149.5
ALKBH5,502.5,1223,0.695,103.25
APOH,31.57,0.21,0.12,0.013
NLRP1,167.25,213,128.2,298
SPAG7,95.7,214,578.14,1560.5
ORC6,483.0345,0.28,60,44.645
ZC3HC1,0.485,0.14,0.617,1
TMEM101,0.167,0.07,0.05,140.05
CD200,386,204,2,1.2
PSME1,3941.5,6333,2671.5,2513.5
PPP2R3C,406,1333,0.115,854
HAUS4,24.0325,0.055,0.016,279.5
OSGEP,344.5,0.86,0.14,4.875
RNF31,8.016,0.12,0.256,6.825
SCFD1,224.35,464,0.242,76
G2E3,137.675,257,339,54.5
HECTD1,646.05,1117,148.385,769
HNRNPC,2897,2547,2415.5,2324
SUPT16H,1019.5,824,812,1323.5
TOX4,212.1,202,343.295,542
GEMIN2,24.516,0.23,5.0485,0.145
TINF2,47.7,29,296.516,208.075
TRPM7,270.65,743,325.5,606.5
WDR76,220,134,191.5,126.5
SNAP23,184.25,498,580,662
PHGDH,0.274,0.053,0.016,0.0265
COL9A3,0.209,0.088,1.4,0.05
EZR,11676,9662,5231.5,11271.5
MYL6,16560,16330,8573,13970.5
AGO1,120.885,226,160.5,300.95
CLSPN,80.37,251,734.5,0.26
RFFL,208.5,334,465.5,1207.5
UNC13D,15.0485,118,44,5.125
MFSD11,91.47,54,387.12,0.165
DPYSL2,22,265,32.5,462
GPATCH2,294,26,0.405,27
NUP50,5532.5,2399,3459,3539
CDC45,0.0485,0.16,0.0325,0.063
COMT,47.6,484,453.5,69.7
ADA2,180.595,46,0.402,147
ECHDC1,420,0.6,34.795,238.9
LRRFIP2,559,9.6,6.065,3.475
SEC22C,29.5,292,14.1,237.5
HDAC6,13.26,65,0.065,30.5
UPRT,435,148,0.8,0.195
CDC23,14.725,429,0.115,0.09
AAAS,29.0325,0.07,0.08,64.5
CBX5,780,654,154.5,661
SUCO,74.25,301,145.2,277.5
MSH2,18.095,28,0.39,134.08
MAP3K1,882.5,496,1140.5,1923
DHPS,66.175,277,0.097,459
HOOK2,76,0.064,0.0995,33.175
ARCN1,436.5,246,26.29,254.5
TMEM38B,40.5485,0.07,1.57,136
PSMD5,200.5,0.21,1373.5,775
PTGS1,0.0485,0.035,0.307,0.0395
NUP188,36.195,0.11,0.45,44.055
CRAT,36.79,9.6,0.016,0.0395
NANS,153.5,223,454.5,134.5
WHRN,42,80,337,47
CWF19L1,17.065,98,0.21,150.5
BTAF1,351.5,86,156,205.05
IKZF5,211,483,5.65,834
BLNK,4.07,0.61,0.525,1.175
WAC,605.5,1185,1009.5,3765.5
CREM,17097.5,16924,5685,8581.5
NUBP2,86.725,0.58,115.5485,85.4
TPSD1,2.9,0.16,0.08,0.08
HIVEP1,407.7,582,742.5485,493.5
FKBP5,302,486,3081,1131
SRPK1,241.76,803,1141.5,234
MRPS18A,73.7,326,0.145,289.5
TMEM14A,1409,11,449.517,752.5
HSP90AB1,4076.5,9804,6498,11156.5
CDC5L,857.05,1174,982,812.5
ITPR3,1.316,0.85,0.0325,4.1
ZNF184,91.516,0.07,70.5,0.0265
SIRT1,15.5485,2.5,8.5325,0.7395
HNRNPH3,617.5,334,1094,409
IFT74,52.565,444,0.067,117.125
IL12RB1,119.95,93,285,213.5
ABL1,43.5,0.18,0.1645,0.038
ACOT7,21.305,157,664,0.545
SH3GLB1,623,882,78.5,1553
CDC7,13.065,145,0.016,63.5
SYDE2,0.0395,0.018,0.016,0.0395
SCD,36.65,8.1,21.645,393.513
ABLIM1,425.5,314,544.5,1388
RAB18,363.5,1891,1158,45.55
NRP1,0.55,0.28,0.375,0.0265
HSD17B7P2,0.045,89,170.5,17.625
WASHC2A,207.7,86,378,7.725
MAST3,719.5,23,0.235,258.5
OCEL1,4.616,0.035,0.16,28.525
MYO9B,130,23,8.4,260
KCNK6,42.5,0.11,9.725,58.055
PSMD8,894.5,333,740.5,2625.5
SETD1A,2.815,43,1.3,0.115
BCL7C,466.65,171,84,0.263
CIRBP,502.5,192,353.14,580
ATP5F1D,567,197,122.516,227.525
HNRNPM,1566.5,1119,700.5,2947
MARCHF2,143.5,82,59,31.5
NDUFB7,442.2,467,212.69,736.5
TECR,369.5,1069,102,523.1
TIMM13,501.5,232,77.517,94
CDC34,0.265,12,0.0325,0.42
MTAP,286.028,435,112.08,198.5
POLR2E,318.15,666,7.69,1228.5
POLRMT,0.266,103,3.8,0.038
GADD45B,114.1,193,2.335,136.2
MKNK2,237,356,347,99
TRMT2A,24.695,4.5,0.08,34.5
RANBP1,1096.5,238,1279.5,2102
ZDHHC8,14.565,0.018,0.105,0.038
MED15,434.5,324,526,183.5
SNAP29,46,41,8.225,0.62
CRKL,391,610,478.5,804.5
SMARCB1,54.5325,110,20.016,89.825
DERL3,2.0825,16,1.71,6.275
BCL2L13,305.5,320,0.033,0.47
DDTL,1.525,2.2,0.407,2.75
DDT,127.5,270,37.8,281.5
OSM,80,0.035,0.25,3.75
CABIN1,30,253,85.775,72.525
TBC1D10A,41.0485,0.088,51.5,0.105
SF3A1,485,863,116,94.5
SEC14L2,50.355,391,0.016,194
SPECC1L,21.79,29,535.615,412.5
PPIL2,54.25,46,0.0825,0.195
SNRPD3,706,461,592.5,1113
PES1,95,5.7,0.917,14.525
MAPK1,17.855,189,44.84,855
GGT1,1.8,0.018,46.0485,0.0395
PPM1F,0.06,3.7,0.067,0.063
CYTH4,2.215,0.088,133.0325,0.55
ESS2,126,33,1.55,0.5
CRYBB2P1,51.65,93,108.07,298.265
MFNG,237.5,32,0.0485,221.5
SLC25A1,65.145,40,69.017,1.25
GRK3,518.5,0.053,0.016,1.075
LGALS2,0.016,0.035,0.3425,0.45
GGA1,42.065,16,0.016,202.525
LGALS1,960,6731,2253,1232.5
HPS4,47.5,74,0.105,103.5
PIK3IP1,984,431,182.1,1321
SRRD,4.6825,2.6,1,0.63
PATZ1,9.5,0.035,0.016,3.55
TRIOBP,20.65,19,34.016,19.05
TFIP11,53.65,243,207,309.605
GCAT,30.16,5.7,0.0345,0.065
ANKRD54,202,109,0.115,208.5
EIF3L,839,685,1850.5,665
SNU13,1356,1823,987.5,1066.5
MICALL1,0.079,0.11,0.016,13.0395
POLR2F,624.5,639,331.5,522
DEPDC5,0.028,0.11,0.85,0.055
CENPM,185,21,0.147,1034
DDX17,1518.5,2201,645,1402.5
TCF20,63.26,173,209,17.05
HSCB,1.86,0.088,0.016,0.055
TOMM22,875,120,273,226
XBP1,213.5,51,8.35,575
RTCB,261.855,325,836.5,492.5
JOSD1,708,479,418.47,690
FBXO7,1118.5,2490,0.38,1020
GTPBP1,141.87,541,11.645,0.62
POLDIP3,15.615,276,98.615,315.85
TIMP3,0.491,0.018,0.016,0.0895
PPP6R2,86.565,31,0.016,127
SBF1,2.516,66,28.016,27
SUN2,190,102,90.516,0.225
CYB5R3,90,0.25,35.0485,133.675
LMF2,2.566,0.018,0.017,0.5
PACSIN2,50.08,337,0.2,92.65
AP1B1,19.9,0.25,316.5,0.17
HMGXB4,233.55,479,524,11.95
TOM1,0.1935,52,0.016,47.025
CHKB,55,158,1.25,338
BIK,5.695,38,0.0325,0.8
MCM5,46.9,88,52,340.5
APOBEC3H,78.84,237,42.517,794.65
ARSA,19.76,82,0.156,53.8
TSPO,866.5,418,281.5,415.5
CBX7,85,56,0.033,176.5
RPL3,8742.5,11811,8957.5,8872
SYNGR1,28.0325,169,0.033,0.0395
TAB1,0.023,121,18.016,171
ASCC2,47.65,302,376.517,210
MTMR3,32.97,72,134.517,0.39
MIEF1,547.5,27,6,60.395
APOL1,146.5,199,0.033,0.355
MYH9,651.5,1394,374,1163
SAMM50,153.95,139,318.12,70.5
TXN2,632,319,972.05,1356.5
FOXRED2,44.5,16,0.0495,0.155
GRAP2,568.5,231,180.66,311.5
EIF3D,761,413,509,608.5
TNRC6B,3912,2397,1853.5,3724
IFT27,29.175,117,63,34.1
NCF4,336.5,584,183.085,534
CSF2RB,0.0625,426,0.335,0.155
SLC25A17,251,183,0.07,50.5
FAM118A,110.595,12,49.5,269
ST13,1575,1625,448.5,675
IL2RB,865.5,2545,839,2276
RBX1,1049,1782,1389,1478
EP300,529.5,320,784.4,509.5
L3MBTL2,10,97,19.5,0.57
RANGAP1,180,406,0.735,91.5
PHF5A,114.63,296,149.5,0.305
ACO2,192,4.9,1.5825,485
POLR3H,78.5,0.053,0.017,6.595
DESI1,1.455,108,26.516,0.21
CERK,1161.5,177,770,1240
BRD1,305,345,761,56.9
ZBED4,91.6,222,486.1,25
ABHD4,16.79,37,0.065,0.0895
KHNYN,94.85,0.41,0.105,44.065
FKBP3,439,608,243,1993.5
SDR39U1,182.5,296,21.016,128
CTSG,0.1075,0.21,0.0485,0.345
GZMH,548,914,27.645,626.65
GZMB,8459,11767,2786.5,4672.5
RBM23,383,488,281.5,391
COCH,3.55,4.4,2.75,134.5
VCPKMT,328,250,0.08,0.51
SOS2,45.065,0.12,4.95,740.5
NIN,286.5,356,442.05,963
PSMC6,1128.5,625,165.5,599.5
GNPNAT1,20.5325,2.9,0.0325,9.58
DDHD1,661,1959,1214.65,1314.5
CDKN3,526.85,1,49.065,135
CNIH1,432,555,212.1,2015.5
CGRRF1,394.5,230,165.295,118.125
ATP6V1D,712,134,5.04,952.5
PIGH,791.5,190,10.5325,0.65
PSMA3,535.5,3.4,1105,488.5
VTI1B,174.45,690,432,519
GSTZ1,8.0325,541,0.121,1.005
KIAA0586,94.905,96,855,289.5
TMED8,271,350,839,296.5
AHSA1,582,413,436.5,928
DAAM1,273,45,477.95,258.05
SPTLC2,24.58,452,17.0485,192
,21.115,311,0.016,187
LGMN,425.5,10,12.86,226.75
ALKBH1,12,0.07,27.517,181
SNW1,2635.5,1257,260.5,620
ITPK1,550.5,0.51,0.0485,0.0265
DHRS7,1037.5,1441,1034,1102
PPM1A,1297.5,551,1386,1914.5
ASB2,812.5,10,255.5,352
CEP128,260,0.14,106,722.0265
ERH,270.5,332,111.5,385.5
HIF1A,1150,2799,1193,1731.5
SUSD6,2811,904,729,1449.5
SRSF5,3123.5,6930,775,3089
EIF5,4419.5,3632,2982.5,6099
DICER1,137.75,93,447,291
ZFYVE21,36.565,54,0.145,0.0265
MTHFD1,554.5,17,0.375,172
TCL1A,1.8985,2.9,0.155,2.6
ZC3H14,174.855,86,0.1845,119.5
PCNX1,80.275,15,267.05,321.5
GSKIP,201.26,30,167.5,340
VRK1,181.08,381,119.13,5.83
PSMC1,783,1095,1265.5,886
PAPLN,0.023,0.035,27.095,0.05
RPS6KA5,274.66,23,0.14,113.37
PPP4R3A,1130,1274,1149.5,1330
PSMB5,987,515,367,455
YY1,899,832,1462.5,934
ACIN1,990.5,1164,291.5,774.5
CCNB1IP1,9.016,0.088,0.175,0.475
TRIP11,333,97,533,221.5
APEX1,233,0.18,587.43,1438
PABPN1,43.9,129,205,103.5
ARHGAP5,15.45,256,7.3,182.175
CINP,43.355,119,0.033,111.1
SRP54,321,692,435.5,522
CHD8,223,30,66.5,165.5
